iter	Passed	Remaining
0	5	2915
1	11	2857
2	17	2840
3	23	2869
4	28	2819
5	34	2807
6	40	2858
7	44	2746
8	48	2650
9	52	2569
10	56	2497
11	60	2447
12	64	2411
13	68	2391
14	72	2352
15	76	2301
16	80	2277
17	83	2248
18	87	2225
19	95	2281
20	100	2289
21	104	2268
22	108	2244
23	112	2227
24	116	2218
25	120	2200
26	124	2183
27	128	2172
28	133	2167
29	137	2149
30	141	2143
31	149	2192
32	155	2201
33	163	2238
34	167	2226
35	171	2215
36	176	2203
37	179	2188
38	184	2176
39	188	2164
40	193	2162
41	198	2165
42	202	2151
43	206	2139
44	210	2125
45	214	2114
46	218	2104
47	222	2091
48	224	2064
49	228	2056
50	233	2056
51	237	2049
52	243	2050
53	247	2042
54	252	2043
55	257	2039
56	262	2038
57	266	2029
58	271	2028
59	275	2020
60	280	2016
61	285	2017
62	290	2015
63	296	2020
64	301	2017
65	305	2011
66	310	2006
67	315	2004
68	319	1997
69	324	1991
70	329	1991
71	335	1996
72	339	1987
73	344	1980
74	348	1973
75	354	1978
76	359	1972
77	362	1963
78	367	1956
79	371	1949
80	375	1942
81	379	1936
82	383	1927
83	388	1923
84	392	1916
85	396	1908
86	400	1900
87	404	1892
88	408	1884
89	411	1876
90	416	1873
91	420	1864
92	424	1857
93	428	1849
94	432	1845
95	436	1838
96	440	1830
97	444	1822
98	448	1815
99	452	1808
100	456	1802
101	460	1797
102	464	1790
103	468	1784
104	472	1778
105	476	1772
106	481	1767
107	485	1761
108	491	1764
109	499	1771
110	512	1795
111	527	1825
112	532	1822
113	538	1823
114	543	1817
115	547	1813
116	552	1809
117	561	1819
118	569	1824
119	574	1819
120	579	1814
121	584	1811
122	588	1804
123	593	1800
124	599	1797
125	605	1795
126	610	1791
127	615	1787
128	619	1782
129	625	1780
130	630	1777
131	636	1773
132	640	1767
133	645	1763
134	650	1758
135	654	1752
136	659	1747
137	664	1742
138	668	1736
139	672	1729
140	677	1725
141	681	1718
142	685	1712
143	689	1705
144	695	1703
145	702	1703
146	707	1699
147	712	1694
148	716	1688
149	720	1681
150	724	1675
151	732	1677
152	740	1679
153	745	1674
154	751	1672
155	757	1670
156	763	1668
157	769	1666
158	776	1664
159	792	1683
160	803	1692
161	811	1693
162	819	1694
163	839	1719
164	851	1728
165	857	1726
166	865	1725
167	871	1721
168	876	1716
169	883	1714
170	888	1709
171	894	1705
172	900	1701
173	906	1698
174	912	1693
175	917	1689
176	928	1694
177	939	1698
178	947	1698
179	952	1692
180	957	1686
181	961	1680
182	966	1674
183	971	1669
184	976	1663
185	981	1656
186	985	1649
187	990	1643
188	996	1639
189	1001	1633
190	1007	1629
191	1019	1634
192	1027	1635
193	1032	1628
194	1037	1622
195	1042	1616
196	1047	1611
197	1053	1606
198	1057	1599
199	1062	1593
200	1066	1586
201	1070	1579
202	1076	1575
203	1081	1568
204	1085	1561
205	1091	1557
206	1096	1552
207	1103	1548
208	1107	1542
209	1112	1536
210	1117	1530
211	1121	1523
212	1125	1517
213	1129	1510
214	1135	1505
215	1141	1500
216	1145	1494
217	1150	1488
218	1154	1481
219	1160	1476
220	1165	1471
221	1169	1464
222	1174	1458
223	1178	1452
224	1183	1446
225	1187	1439
226	1192	1433
227	1199	1430
228	1205	1426
229	1212	1423
230	1229	1432
231	1234	1425
232	1238	1419
233	1244	1414
234	1248	1408
235	1254	1403
236	1258	1397
237	1263	1390
238	1267	1383
239	1272	1378
240	1278	1373
241	1285	1370
242	1291	1365
243	1295	1359
244	1300	1353
245	1305	1347
246	1311	1343
247	1318	1340
248	1325	1336
249	1332	1332
250	1338	1327
251	1346	1325
252	1353	1321
253	1360	1317
254	1365	1311
255	1369	1305
256	1375	1300
257	1381	1295
258	1386	1289
259	1391	1284
260	1396	1279
261	1402	1274
262	1408	1268
263	1412	1263
264	1416	1256
265	1421	1250
266	1426	1244
267	1431	1239
268	1438	1235
269	1444	1230
270	1451	1226
271	1460	1223
272	1467	1220
273	1474	1216
274	1480	1211
275	1486	1206
276	1493	1202
277	1500	1198
278	1506	1193
279	1510	1186
280	1514	1180
281	1520	1175
282	1524	1168
283	1528	1162
284	1533	1156
285	1538	1151
286	1542	1144
287	1547	1138
288	1551	1132
289	1555	1126
290	1558	1119
291	1562	1113
292	1566	1106
293	1570	1100
294	1574	1093
295	1578	1087
296	1582	1081
297	1587	1075
298	1592	1070
299	1596	1064
300	1600	1058
301	1605	1052
302	1610	1046
303	1615	1041
304	1623	1037
305	1628	1032
306	1632	1026
307	1639	1022
308	1644	1016
309	1649	1011
310	1654	1005
311	1659	999
312	1663	993
313	1669	989
314	1674	983
315	1680	978
316	1685	973
317	1691	967
318	1696	962
319	1701	956
320	1706	951
321	1711	946
322	1717	940
323	1721	935
324	1725	929
325	1730	923
326	1735	917
327	1739	912
328	1743	906
329	1747	900
330	1751	894
331	1756	888
332	1760	882
333	1764	876
334	1768	870
335	1772	864
336	1776	859
337	1780	853
338	1784	847
339	1788	841
340	1792	835
341	1796	830
342	1800	824
343	1804	818
344	1808	812
345	1812	806
346	1816	800
347	1820	794
348	1823	789
349	1827	783
350	1832	778
351	1837	772
352	1842	767
353	1847	762
354	1855	757
355	1861	752
356	1866	747
357	1871	742
358	1875	736
359	1880	731
360	1885	725
361	1889	720
362	1895	715
363	1899	709
364	1903	704
365	1907	698
366	1911	692
367	1915	687
368	1919	681
369	1922	675
370	1926	669
371	1930	664
372	1940	660
373	1944	655
374	1955	651
375	1958	646
376	1962	640
377	1968	635
378	1973	630
379	1979	625
380	2000	624
381	2015	622
382	2019	616
383	2023	611
384	2027	605
385	2034	600
386	2038	595
387	2043	589
388	2047	584
389	2051	578
390	2055	573
391	2060	567
392	2064	562
393	2068	556
394	2073	551
395	2079	546
396	2085	541
397	2090	535
398	2095	530
399	2100	525
400	2105	519
401	2138	521
402	2142	515
403	2146	510
404	2151	504
405	2157	499
406	2162	494
407	2169	489
408	2175	484
409	2183	479
410	2189	474
411	2195	469
412	2200	463
413	2205	458
414	2209	452
415	2214	447
416	2219	441
417	2223	436
418	2227	430
419	2231	425
420	2236	419
421	2241	414
422	2245	408
423	2250	403
424	2254	397
425	2260	392
426	2264	387
427	2268	381
428	2272	376
429	2276	370
430	2281	365
431	2284	359
432	2289	354
433	2293	348
434	2297	343
435	2301	337
436	2306	332
437	2311	327
438	2315	321
439	2319	316
440	2323	310
441	2330	305
442	2335	300
443	2341	295
444	2347	290
445	2353	284
446	2357	279
447	2361	274
448	2366	268
449	2371	263
450	2380	258
451	2385	253
452	2389	247
453	2394	242
454	2399	237
455	2403	231
456	2408	226
457	2413	221
458	2417	215
459	2422	210
460	2429	205
461	2434	200
462	2438	194
463	2444	189
464	2452	184
465	2458	179
466	2462	174
467	2466	168
468	2470	163
469	2487	158
470	2491	153
471	2495	148
472	2499	142
473	2504	137
474	2508	132
475	2512	126
476	2516	121
477	2521	116
478	2525	110
479	2529	105
480	2534	100
481	2538	94
482	2542	89
483	2546	84
484	2550	78
485	2555	73
486	2560	68
487	2566	63
488	2573	57
489	2577	52
490	2582	47
491	2588	42
492	2592	36
493	2598	31
494	2603	26
495	2608	21
496	2615	15
497	2621	10
498	2625	5
499	2629	0
